Wall time,Step,Value
1729125609,0,1.887899041
1729125831,1,1.798367143
1729126055,2,1.440794349
1729126277,3,1.020727873
1729126500,4,0.805543363
1729126722,5,0.70560658
1729126944,6,0.630248904
1729127170,7,0.605295718
1729127393,8,0.546912909
1729127617,9,0.573238075
1729127839,10,0.60815376
1729128062,11,0.51636976
1729128284,12,0.560540617
1729128506,13,0.5610587
1729128728,14,0.499297589
1729128952,15,0.458407909
1729129174,16,0.476801306
1729129395,17,0.474561632
1729129616,18,0.434252083
1729129839,19,0.464235187
1729130062,20,0.415246993
1729130284,21,0.394973993
1729130506,22,0.348343879
1729130727,23,0.347941339
1729130949,24,0.332145274
1729131171,25,0.332165748
1729131393,26,0.319234669
1729131615,27,0.283158541
1729131839,28,0.286931813
1729132062,29,0.286002308
1729132284,30,0.275391936
1729132506,31,0.249671027
1729132728,32,0.265812904
1729132951,33,0.249595925
1729133174,34,0.231881946
1729133397,35,0.237940893
1729133619,36,0.231392473
1729133841,37,0.216070667
1729134064,38,0.215653613
1729134285,39,0.206678376
1729134509,40,0.202562273
1729134731,41,0.196339533
1729134953,42,0.194936022
1729135175,43,0.193515599
1729135398,44,0.190456495
1729135619,45,0.187277332
1729135841,46,0.184624627
1729136063,47,0.186711818
1729136285,48,0.181630492
1729136507,49,0.184160784
1729136729,50,0.347584665
1729136950,51,0.317920059
1729137172,52,0.271306753
1729137393,53,0.328933299
1729137615,54,0.277216911
1729137837,55,0.27523762
1729138059,56,0.295300692
1729138281,57,0.249738455
1729138502,58,0.243373856
1729138724,59,0.290873975
1729138946,60,0.25329715
1729139168,61,0.258104324
1729139390,62,0.291675717
1729139612,63,0.234250084
1729139834,64,0.280945003
1729140057,65,0.309451759
1729140280,66,0.236235961
1729140502,67,0.213079616
1729140723,68,0.220191285
1729140945,69,0.214848906
1729141169,70,0.215084702
1729141391,71,0.22582829
1729141614,72,0.237908185
1729141839,73,0.208914623
1729142063,74,0.229846194
1729142288,75,0.233286038
1729142512,76,0.203020692
1729142736,77,0.232078508
1729142960,78,0.183667049
1729143186,79,0.186931521
1729143410,80,0.202331245
1729143635,81,0.182124019
1729143861,82,0.179038763
1729144086,83,0.180726364
1729144312,84,0.17803596
1729144538,85,0.177092209
1729144761,86,0.188492388
1729144985,87,0.157768622
1729145207,88,0.177752301
1729145429,89,0.17259717
1729145651,90,0.153397918
1729145873,91,0.151520833
1729146095,92,0.165905222
1729146316,93,0.153090268
1729146538,94,0.147070751
1729146760,95,0.143219993
1729146982,96,0.154171541
